x_m,y_m,w_tr_right_m,w_tr_left_m
-2.505340152647206651e+02,2.373916792205661750e+02,6.244504928663474175e+00,6.244504928663474175e+00
-2.473419634082289917e+02,2.468917528103647498e+02,6.212766289335339032e+00,6.212766289335313274e+00
-2.441050973667960022e+02,2.563766375480010993e+02,6.183180586582180283e+00,6.183180586582180283e+00
-2.408989528766673516e+02,2.658719640174447250e+02,6.231026828304113252e+00,6.231026828304135456e+00
-2.376920237445316388e+02,2.753670482884429020e+02,6.259889464488582078e+00,6.259889464488556321e+00
-2.344183383180629221e+02,2.848389569877541589e+02,6.194805198865494411e+00,6.194805198865519280e+00
-2.312685044588724281e+02,2.943527933356223230e+02,6.288497403872730374e+00,6.288497403872731262e+00
-2.281001963641605528e+02,3.038605817650941958e+02,6.366763949360201735e+00,6.366763949360201735e+00
-2.247968775725132389e+02,3.133225353766582657e+02,6.412244605926500363e+00,6.412244605926529673e+00
-2.216035510155429051e+02,3.228221309229049893e+02,6.437452099187315646e+00,6.437452099187315646e+00
-2.184398011263904777e+02,3.323316140356658366e+02,6.487966285380368348e+00,6.487966285380368348e+00
-2.152853630615610996e+02,3.418438230821974457e+02,6.564326378794158146e+00,6.564326378794126171e+00
-2.120759951307033759e+02,3.513375880157921074e+02,6.559979191276590349e+00,6.559979191276556598e+00
-2.088684508796799832e+02,3.608324089950222628e+02,6.615581142151844674e+00,6.615581142151844674e+00
-2.056461057246979180e+02,3.703221981627110040e+02,6.683996659879555047e+00,6.683996659879578139e+00
-2.024459308280059417e+02,3.798194754425571205e+02,6.753979125843984299e+00,6.753979125843961206e+00
-1.991750348897188019e+02,3.892923264326082631e+02,6.779999083077815847e+00,6.779999083077815847e+00
-1.959028492962329153e+02,3.987649942575444584e+02,6.858218190666070413e+00,6.858218190666070413e+00
-1.927590109550723128e+02,4.082807104826206341e+02,6.987177264809751875e+00,6.987177264809751875e+00
-1.895151711898513440e+02,4.177631729261752298e+02,7.091957875923466048e+00,7.091957875923526444e+00
-1.864348566569006778e+02,4.272982477452953844e+02,7.058289055985302873e+00,7.058289055985262905e+00
-1.832162996790944476e+02,4.367877123554324044e+02,7.067892533416836542e+00,7.067892533416794798e+00
-1.799568220612638925e+02,4.462644791073852275e+02,7.182473484139738851e+00,7.182473484139799247e+00
-1.767461646396802735e+02,4.557583039723457432e+02,7.264351858309328946e+00,7.264351858309310295e+00
-1.735341070564715551e+02,4.652516236345935567e+02,7.356270743689324654e+00,7.356270743689324654e+00
-1.703065741994720668e+02,4.747396515313619147e+02,7.461581089168642933e+00,7.461581089168687342e+00
