x_m,y_m,w_tr_right_m,w_tr_left_m
2.752324204175106388e+02,1.552620075132975899e+02,7.595173130119404092e+00,7.595173130119404092e+00
2.756801124305608823e+02,1.534369938787240812e+02,7.617265747461885894e+00,7.617265747461893000e+00
2.761281830668029897e+02,1.516120565729798386e+02,7.634583574076815538e+00,7.634583574076760470e+00
2.765699036057256990e+02,1.497855724164300000e+02,7.650577047174916601e+00,7.650577047174916601e+00
2.770000732785027822e+02,1.479563358179863712e+02,7.668001476504784364e+00,7.668001476504839431e+00
2.774220336726310734e+02,1.461251879096909931e+02,7.686601939854924126e+00,7.686601939854924126e+00
2.778421631274732135e+02,1.442936180108288795e+02,7.705047213643197779e+00,7.705047213643197779e+00
2.782666244227270909e+02,1.424630457840775648e+02,7.722258980321075938e+00,7.722258980321013766e+00
2.786977864832374507e+02,1.406340416822256429e+02,7.740472385362702212e+00,7.740472385362640040e+00
2.791333923963744610e+02,1.388061058478201346e+02,7.763217148279885294e+00,7.763217148279885294e+00
2.795681896211544881e+02,1.369780167075998634e+02,7.791470164736729487e+00,7.791470164736738369e+00
2.799996031797879823e+02,1.351491617274553505e+02,7.823257805686855804e+00,7.823257805686919752e+00
2.804295780539113139e+02,1.333199422771818377e+02,7.852619632328877941e+00,7.852619632328940114e+00
2.808606230525897445e+02,1.314909196290064415e+02,7.873407307862107629e+00,7.873407307862171578e+00
2.812970165216594296e+02,1.296631747481845309e+02,7.882726879150183663e+00,7.882726879150238730e+00
2.817385673831504391e+02,1.278367184581620393e+02,7.885270697798214101e+00,7.885270697798272721e+00
2.821819039110201857e+02,1.260106885710202675e+02,7.888612600995116964e+00,7.888612600995172031e+00
2.826248245366649599e+02,1.241845084954743186e+02,7.899170767298034690e+00,7.899170767297977847e+00
2.830695693503964208e+02,1.223587621553933644e+02,7.918887932500782156e+00,7.918887932500782156e+00
2.835173989919811106e+02,1.205338109886443902e+02,7.946538751557666203e+00,7.946538751557666203e+00
2.839686711992037544e+02,1.187097699633391983e+02,7.980156969809522494e+00,7.980156969809518941e+00
2.844237959159011098e+02,1.168867432136894422e+02,8.017793202242437189e+00,8.017793202242376793e+00
2.848823929535435013e+02,1.150646170218927580e+02,8.057303724391591260e+00,8.057303724391591260e+00
2.853423269034266241e+02,1.132428246835008281e+02,8.096667279066469547e+00,8.096667279066528167e+00
2.858011272174968553e+02,1.114207126597130042e+02,8.133971710713320036e+00,8.133971710713266745e+00
2.862563339091461785e+02,1.095976441838059543e+02,8.167304652401995213e+00,8.167304652401945475e+00
2.867055906999951276e+02,1.077730414855954848e+02,8.194849783400094623e+00,8.194849783400144361e+00
2.871488892204887975e+02,1.059469478183261515e+02,8.216813212452667159e+00,8.216813212452667159e+00
2.875880496786543290e+02,1.041198448889068970e+02,8.234978759655167124e+00,8.234978759655167124e+00
2.880249386890939149e+02,1.022921969238284703e+02,8.251172286151733815e+00,8.251172286151676971e+00
2.884614623431206724e+02,1.004644617664710893e+02,8.267243706428471839e+00,8.267243706428471839e+00
2.888995090582932335e+02,9.863709094422321755e+01,8.285015136620573983e+00,8.285015136620520693e+00
2.893409530691001805e+02,9.681054412226633588e+01,8.306255390327443422e+00,8.306255390327443422e+00
2.897863579917526522e+02,9.498497135322189422e+01,8.330638207616742008e+00,8.330638207616688717e+00
2.902344931635807370e+02,9.316006618501953085e+01,8.355008382713263515e+00,8.355008382713210224e+00
2.906839957136034513e+02,9.133548429456382678e+01,8.376030578830009787e+00,8.376030578830004458e+00
2.911313511758995674e+02,8.951038967448704398e+01,8.388585283191492437e+00,8.388585283191439146e+00
2.915599739490653519e+02,8.768117276766425050e+01,8.377414703995256673e+00,8.377414703995256673e+00
2.919442039029395346e+02,8.584375101604240399e+01,8.325259338175591495e+00,8.325259338175584389e+00
2.922641460897841057e+02,8.399758463434014288e+01,8.221842898578678671e+00,8.221842898578684000e+00
2.925259197711553725e+02,8.214595371147160563e+01,8.079807791949464857e+00,8.079807791949416895e+00
2.927414416519549150e+02,8.029055728139266535e+01,7.918191541314790527e+00,7.918191541314790527e+00
2.929031259277483059e+02,7.842948787240960939e+01,7.757117526374766925e+00,7.757117526374766925e+00
2.929765502171525213e+02,7.656038349945052346e+01,7.614740394859248696e+00,7.614740394859255801e+00
2.929517314056068358e+02,7.468806893532124036e+01,7.487234344267256425e+00,7.487234344267256425e+00
2.928317133336541360e+02,7.281905738882653623e+01,7.360524995973785067e+00,7.360524995973785067e+00
2.926115629649032144e+02,7.095875420112176357e+01,7.235419046518116737e+00,7.235419046518167363e+00
2.922885382038018633e+02,6.911273761719667164e+01,7.117034439597125228e+00,7.117034439597081708e+00
2.918627266409987442e+02,6.728675972206734457e+01,7.007999319635588975e+00,7.007999319635585422e+00
2.913414915114785799e+02,6.548470019586471835e+01,6.911030397596316099e+00,6.911030397596265473e+00
2.907359317843634585e+02,6.370782489320050246e+01,6.837463550636976528e+00,6.837463550636976528e+00
2.900474557690318420e+02,6.196013575891365832e+01,6.798243594769674658e+00,6.798243594769674658e+00
2.892686784419441324e+02,6.025030785677067513e+01,6.787257813967557674e+00,6.787257813967557674e+00
2.883920413478751925e+02,5.858853729715053049e+01,6.796142750524491127e+00,6.796142750524491127e+00
2.874163260474616663e+02,5.698306938915941089e+01,6.819639040712001332e+00,6.819639040712054623e+00
2.863563273913684384e+02,5.543210646391720076e+01,6.854318810393312589e+00,6.854318810393312589e+00
2.852283932021022110e+02,5.392996882613991261e+01,6.895514816627380306e+00,6.895514816627432708e+00
2.840202769902216460e+02,5.249371362696843590e+01,6.969881447069179892e+00,6.969881447069131042e+00
2.827334617959154457e+02,5.112872595366037132e+01,7.068532631192594451e+00,7.068532631192546489e+00
2.814054847254867013e+02,4.980158196005901061e+01,7.125442343123843614e+00,7.125442343123843614e+00
2.799587644836055915e+02,4.861099109310259792e+01,7.243855905933036965e+00,7.243855905933084038e+00
2.784495452080047926e+02,4.749941090180028880e+01,7.355814547198869846e+00,7.355814547198914255e+00
2.768923878269935130e+02,4.645697719129938719e+01,7.468247703627302947e+00,7.468247703627353573e+00
2.752885247396718569e+02,4.549274655536677869e+01,7.608743324438341560e+00,7.608743324438341560e+00
2.736642653427458072e+02,4.456350403163251883e+01,7.744660186180160721e+00,7.744660186180110983e+00
2.719803243779128934e+02,4.376847885532676230e+01,7.947482873184441132e+00,7.947482873184435803e+00
2.702614957249319332e+02,4.304955834187860830e+01,8.140278706719440649e+00,8.140278706719445978e+00
2.685022097617897998e+02,4.243527343058933354e+01,8.323292843902294180e+00,8.323292843902299509e+00
2.667083723434354852e+02,4.192407103408457658e+01,8.489326160644585784e+00,8.489326160644624863e+00
2.648944511930524186e+02,4.146826599257136081e+01,8.616208469610599607e+00,8.616208469610599607e+00
2.630680147327675513e+02,4.104623824027710555e+01,8.701638958626654485e+00,8.701638958626654485e+00
2.612323729457766603e+02,4.065444740766143639e+01,8.753513149395869775e+00,8.753513149395827142e+00
2.593896920962492914e+02,4.029055635191042484e+01,8.778801794664710556e+00,8.778801794664737201e+00
2.575415945871089889e+02,3.995200999314685930e+01,8.784427624189760309e+00,8.784427624189723005e+00
2.556892585969678748e+02,3.963622126557099534e+01,8.777203973386624725e+00,8.777203973386621172e+00
2.538336085687595869e+02,3.934019014928566094e+01,8.763927971958997531e+00,8.763927971958997531e+00
2.519756392984239710e+02,3.905901678037471925e+01,8.749597400112143930e+00,8.749597400112136825e+00
2.501165335987335823e+02,3.878553082493020554e+01,8.737396999200727876e+00,8.737396999200731429e+00
